"LAYING.1","SITTING.1","STANDING.1","WALKING.1","WALKING_DOWNSTAIRS.1","WALKING_UPSTAIRS.1","LAYING.3","SITTING.3","STANDING.3","WALKING.3","WALKING_DOWNSTAIRS.3","WALKING_UPSTAIRS.3","LAYING.5","SITTING.5","STANDING.5","WALKING.5","WALKING_DOWNSTAIRS.5","WALKING_UPSTAIRS.5","LAYING.6","SITTING.6","STANDING.6","WALKING.6","WALKING_DOWNSTAIRS.6","WALKING_UPSTAIRS.6","LAYING.7","SITTING.7","STANDING.7","WALKING.7","WALKING_DOWNSTAIRS.7","WALKING_UPSTAIRS.7","LAYING.8","SITTING.8","STANDING.8","WALKING.8","WALKING_DOWNSTAIRS.8","WALKING_UPSTAIRS.8","LAYING.11","SITTING.11","STANDING.11","WALKING.11","WALKING_DOWNSTAIRS.11","WALKING_UPSTAIRS.11","LAYING.14","SITTING.14","STANDING.14","WALKING.14","WALKING_DOWNSTAIRS.14","WALKING_UPSTAIRS.14","LAYING.15","SITTING.15","STANDING.15","WALKING.15","WALKING_DOWNSTAIRS.15","WALKING_UPSTAIRS.15","LAYING.16","SITTING.16","STANDING.16","WALKING.16","WALKING_DOWNSTAIRS.16","WALKING_UPSTAIRS.16","LAYING.17","SITTING.17","STANDING.17","WALKING.17","WALKING_DOWNSTAIRS.17","WALKING_UPSTAIRS.17","LAYING.19","SITTING.19","STANDING.19","WALKING.19","WALKING_DOWNSTAIRS.19","WALKING_UPSTAIRS.19","LAYING.21","SITTING.21","STANDING.21","WALKING.21","WALKING_DOWNSTAIRS.21","WALKING_UPSTAIRS.21","LAYING.22","SITTING.22","STANDING.22","WALKING.22","WALKING_DOWNSTAIRS.22","WALKING_UPSTAIRS.22","LAYING.23","SITTING.23","STANDING.23","WALKING.23","WALKING_DOWNSTAIRS.23","WALKING_UPSTAIRS.23","LAYING.25","SITTING.25","STANDING.25","WALKING.25","WALKING_DOWNSTAIRS.25","WALKING_UPSTAIRS.25","LAYING.26","SITTING.26","STANDING.26","WALKING.26","WALKING_DOWNSTAIRS.26","WALKING_UPSTAIRS.26","LAYING.27","SITTING.27","STANDING.27","WALKING.27","WALKING_DOWNSTAIRS.27","WALKING_UPSTAIRS.27","LAYING.28","SITTING.28","STANDING.28","WALKING.28","WALKING_DOWNSTAIRS.28","WALKING_UPSTAIRS.28","LAYING.29","SITTING.29","STANDING.29","WALKING.29","WALKING_DOWNSTAIRS.29","WALKING_UPSTAIRS.29","LAYING.30","SITTING.30","STANDING.30","WALKING.30","WALKING_DOWNSTAIRS.30","WALKING_UPSTAIRS.30","LAYING.2","SITTING.2","STANDING.2","WALKING.2","WALKING_DOWNSTAIRS.2","WALKING_UPSTAIRS.2","LAYING.4","SITTING.4","STANDING.4","WALKING.4","WALKING_DOWNSTAIRS.4","WALKING_UPSTAIRS.4","LAYING.9","SITTING.9","STANDING.9","WALKING.9","WALKING_DOWNSTAIRS.9","WALKING_UPSTAIRS.9","LAYING.10","SITTING.10","STANDING.10","WALKING.10","WALKING_DOWNSTAIRS.10","WALKING_UPSTAIRS.10","LAYING.12","SITTING.12","STANDING.12","WALKING.12","WALKING_DOWNSTAIRS.12","WALKING_UPSTAIRS.12","LAYING.13","SITTING.13","STANDING.13","WALKING.13","WALKING_DOWNSTAIRS.13","WALKING_UPSTAIRS.13","LAYING.18","SITTING.18","STANDING.18","WALKING.18","WALKING_DOWNSTAIRS.18","WALKING_UPSTAIRS.18","LAYING.20","SITTING.20","STANDING.20","WALKING.20","WALKING_DOWNSTAIRS.20","WALKING_UPSTAIRS.20","LAYING.24","SITTING.24","STANDING.24","WALKING.24","WALKING_DOWNSTAIRS.24","WALKING_UPSTAIRS.24"
"tBodyAcc-mean()-X",NA,NA,0.265696920582133,NA,NA,NA,NA,NA,0.273428719636364,NA,NA,NA,NA,NA,0.279177960301325,NA,NA,NA,NA,NA,0.272376614181538,NA,NA,NA,NA,NA,0.270211697814935,NA,NA,NA,NA,NA,0.270759063295374,NA,NA,NA,NA,0.276609068219745,0.27285549,NA,NA,NA,NA,0.270184596009288,NA,NA,NA,NA,NA,0.27821340725,NA,NA,NA,NA,NA,0.277887440374317,NA,NA,NA,NA,NA,0.274029548065217,NA,NA,NA,NA,0.268339183113475,0.274728278461538,NA,NA,NA,NA,0.277466525522059,NA,NA,NA,NA,NA,0.274767690046106,NA,NA,NA,NA,NA,0.273493254730108,NA,NA,NA,NA,NA,0.275301467772127,NA,NA,NA,NA,NA,0.266665086303289,NA,NA,0.27707186075,NA,NA,NA,NA,NA,0.277264567074468,NA,NA,NA,NA,NA,0.277532554764398,NA,NA,NA,NA,NA,0.279111521944767,NA,NA,NA,NA,NA,0.276080501222368,0.304848333333333,NA,NA,NA,NA,NA,0.273113115788079,NA,NA,NA,NA,NA,0.274183111498423,NA,NA,NA,NA,NA,0.270313841621528,NA,NA,NA,NA,NA,0.27684847392517,NA,NA,NA,NA,NA,0.272694371584158,0.275173971949153,NA,NA,NA,NA,NA,0.275895876198777,NA,NA,NA,NA,NA,0.276324152142857,NA,NA,NA,NA,NA,0.268425757926554,NA,NA,NA,NA,NA,0.276767046391076
"tBodyAcc-mean()-Y",NA,NA,-0.0182981725176081,NA,NA,NA,NA,NA,-0.017856067384956,NA,NA,NA,NA,NA,-0.0154833455336192,NA,NA,NA,NA,NA,-0.0175697042641846,NA,NA,NA,NA,NA,-0.0187904887668182,NA,NA,NA,NA,NA,-0.0181894974688612,NA,NA,NA,NA,-0.0190957961722611,-0.0240660055,NA,NA,NA,NA,-0.0162548178510526,NA,NA,NA,NA,NA,-0.016464484771311,NA,NA,NA,NA,NA,-0.0158567888309016,NA,NA,NA,NA,NA,-0.0175416045074728,NA,NA,NA,NA,-0.0187589558484787,-0.0161937053371795,NA,NA,NA,NA,-0.0176664578561765,NA,NA,NA,NA,NA,-0.0168273604077383,NA,NA,NA,NA,NA,-0.019589258786828,NA,NA,NA,NA,NA,-0.0193221769314914,NA,NA,NA,NA,NA,-0.0126604564370395,NA,NA,-0.0183906329089125,NA,NA,NA,NA,NA,-0.0167969215592152,NA,NA,NA,NA,NA,-0.0191721442063089,NA,NA,NA,NA,NA,-0.018471953048314,NA,NA,NA,NA,NA,-0.0175973973266579,-0.0160922593333333,NA,NA,NA,NA,NA,-0.0191323183174834,NA,NA,NA,NA,NA,-0.0148081545344921,NA,NA,NA,NA,NA,-0.0209466555412396,NA,NA,NA,NA,NA,-0.017835790552415,NA,NA,NA,NA,NA,-0.0181581049852301,-0.0186437983445763,NA,NA,NA,NA,NA,-0.0176504796070948,NA,NA,NA,NA,NA,-0.0172831546595266,NA,NA,NA,NA,NA,-0.0175912993773164,NA,NA,NA,NA,NA,-0.0176822460103885
"tBodyAcc-mean()-Z",NA,NA,-0.10784573454611,NA,NA,NA,NA,NA,-0.106492632429097,NA,NA,NA,NA,NA,-0.105661736816887,NA,NA,NA,NA,NA,-0.11599454136,NA,NA,NA,NA,NA,-0.112492375388312,NA,NA,NA,NA,NA,-0.106809623683986,NA,NA,NA,NA,-0.108973870187898,-0.10390072,NA,NA,NA,NA,-0.100985935692074,NA,NA,NA,NA,NA,-0.112563587594512,NA,NA,NA,NA,NA,-0.107263924445355,NA,NA,NA,NA,NA,-0.109199853130082,NA,NA,NA,NA,-0.12140415774744,-0.106971953217949,NA,NA,NA,NA,-0.10877848058848,NA,NA,NA,NA,NA,-0.108670376782866,NA,NA,NA,NA,NA,-0.109093982385242,NA,NA,NA,NA,NA,-0.10962903098044,NA,NA,NA,NA,NA,-0.103219748046053,NA,NA,-0.110436054620833,NA,NA,NA,NA,NA,-0.110848300413564,NA,NA,NA,NA,NA,-0.109710873104188,NA,NA,NA,NA,NA,-0.108675612269477,NA,NA,NA,NA,NA,-0.105658060130789,-0.135723196,NA,NA,NA,NA,NA,-0.115649958175497,NA,NA,NA,NA,NA,-0.107521430810726,NA,NA,NA,NA,NA,-0.101233826213889,NA,NA,NA,NA,NA,-0.111301532185714,NA,NA,NA,NA,NA,-0.106023060985149,-0.107720839398305,NA,NA,NA,NA,NA,-0.109135285550765,NA,NA,NA,NA,NA,-0.108112251068681,NA,NA,NA,NA,NA,-0.108029145824294,NA,NA,NA,NA,NA,-0.107914503687664
"tBodyAcc-std()-X",NA,NA,-0.545795331328326,NA,NA,NA,NA,NA,-0.623413602046921,NA,NA,NA,NA,NA,-0.507691011391722,NA,NA,NA,NA,NA,-0.505086085072062,NA,NA,NA,NA,NA,-0.577518324748052,NA,NA,NA,NA,NA,-0.582958863017438,NA,NA,NA,NA,-0.586989828163694,-0.97988363,NA,NA,NA,NA,-0.611671118216099,NA,NA,NA,NA,NA,-0.556541173089329,NA,NA,NA,NA,NA,-0.668161498298634,NA,NA,NA,NA,NA,-0.608455243870734,NA,NA,NA,NA,-0.461518195570603,-0.983706167948718,NA,NA,NA,NA,-0.672323867377451,NA,NA,NA,NA,NA,-0.546089975548692,NA,NA,NA,NA,NA,-0.622594039757258,NA,NA,NA,NA,NA,-0.716264537547677,NA,NA,NA,NA,NA,-0.789519438953947,NA,NA,-0.5177027062375,NA,NA,NA,NA,NA,-0.660976085218085,NA,NA,NA,NA,NA,-0.649040391307853,NA,NA,NA,NA,NA,-0.574295395364826,NA,NA,NA,NA,NA,-0.618893533536842,-0.235542686666667,NA,NA,NA,NA,NA,-0.605586497159271,NA,NA,NA,NA,NA,-0.605211727785489,NA,NA,NA,NA,NA,-0.555656544538194,NA,NA,NA,NA,NA,-0.537807711163265,NA,NA,NA,NA,NA,-0.665151911207921,-0.444976442345763,NA,NA,NA,NA,NA,-0.624844460199083,NA,NA,NA,NA,NA,-0.694616884972527,NA,NA,NA,NA,NA,-0.60484669490339,NA,NA,NA,NA,NA,-0.675459176298425
"tBodyAcc-std()-Y",NA,NA,-0.367716218227378,NA,NA,NA,NA,NA,-0.480015920697654,NA,NA,NA,NA,NA,-0.402724906078146,NA,NA,NA,NA,NA,-0.368403670137262,NA,NA,NA,NA,NA,-0.546403365345779,NA,NA,NA,NA,NA,-0.349383732046263,NA,NA,NA,NA,-0.487537966213376,-0.93647613,NA,NA,NA,NA,-0.374730765205077,NA,NA,NA,NA,NA,-0.481679537956006,NA,NA,NA,NA,NA,-0.649947067892896,NA,NA,NA,NA,NA,-0.567005319464348,NA,NA,NA,NA,-0.382898728217553,-0.955835759487179,NA,NA,NA,NA,-0.565585190336299,NA,NA,NA,NA,NA,-0.491188426241526,NA,NA,NA,NA,NA,-0.532078546615699,NA,NA,NA,NA,NA,-0.531421035602689,NA,NA,NA,NA,NA,-0.759447176072368,NA,NA,-0.476096454437083,NA,NA,NA,NA,NA,-0.630460488658511,NA,NA,NA,NA,NA,-0.573651895933508,NA,NA,NA,NA,NA,-0.598400275636657,NA,NA,NA,NA,NA,-0.522349221961316,-0.100815070333333,NA,NA,NA,NA,NA,-0.428962986589404,NA,NA,NA,NA,NA,-0.509929384011325,NA,NA,NA,NA,NA,-0.5758878952125,NA,NA,NA,NA,NA,-0.497405885644898,NA,NA,NA,NA,NA,-0.630063974084158,-0.337117667238983,NA,NA,NA,NA,NA,-0.448816097853364,NA,NA,NA,NA,NA,-0.627117507326923,NA,NA,NA,NA,NA,-0.369336706508757,NA,NA,NA,NA,NA,-0.582490655185302
"tBodyAcc-std()-Z",NA,NA,-0.502645746562824,NA,NA,NA,NA,NA,-0.653625579293255,NA,NA,NA,NA,NA,-0.646443640175497,NA,NA,NA,NA,NA,-0.672512004586708,NA,NA,NA,NA,NA,-0.456473642256981,NA,NA,NA,NA,NA,-0.499472687913167,NA,NA,NA,NA,-0.663355760656051,-0.974387225,NA,NA,NA,NA,-0.29354271467452,NA,NA,NA,NA,NA,-0.705706623868902,NA,NA,NA,NA,NA,-0.603819902386066,NA,NA,NA,NA,NA,-0.660582755619022,NA,NA,NA,NA,-0.563379417093972,-0.959403922307692,NA,NA,NA,NA,-0.669621813176471,NA,NA,NA,NA,NA,-0.65508967878972,NA,NA,NA,NA,NA,-0.450557203409946,NA,NA,NA,NA,NA,-0.64709556105868,NA,NA,NA,NA,NA,-0.8142498625,NA,NA,-0.635776778583333,NA,NA,NA,NA,NA,-0.68321532587766,NA,NA,NA,NA,NA,-0.685821415026178,NA,NA,NA,NA,NA,-0.606461283926453,NA,NA,NA,NA,NA,-0.528666325486105,0.24027661,NA,NA,NA,NA,NA,-0.589360062210596,NA,NA,NA,NA,NA,-0.709492735962145,NA,NA,NA,NA,NA,-0.506111776081806,NA,NA,NA,NA,NA,-0.614776952226361,NA,NA,NA,NA,NA,-0.702356191321782,-0.69405067279661,NA,NA,NA,NA,NA,-0.587230562129052,NA,NA,NA,NA,NA,-0.701596039615385,NA,NA,NA,NA,NA,-0.634787346548023,NA,NA,NA,NA,NA,-0.636497458900262
"tBodyAcc-mad()-X",NA,NA,-0.580162894375792,NA,NA,NA,NA,NA,-0.65376509042522,NA,NA,NA,NA,NA,-0.537623406579801,NA,NA,NA,NA,NA,-0.540118251305108,NA,NA,NA,NA,NA,-0.602693080815584,NA,NA,NA,NA,NA,-0.608402968452313,NA,NA,NA,NA,-0.61015304716242,-0.98943822,NA,NA,NA,NA,-0.645693876989474,NA,NA,NA,NA,NA,-0.586357074003659,NA,NA,NA,NA,NA,-0.680066570957104,NA,NA,NA,NA,NA,-0.62794980569837,NA,NA,NA,NA,-0.485640866969504,-0.985399762820513,NA,NA,NA,NA,-0.688824771703431,NA,NA,NA,NA,NA,-0.554144731795016,NA,NA,NA,NA,NA,-0.653234529713441,NA,NA,NA,NA,NA,-0.736110608354523,NA,NA,NA,NA,NA,-0.800623806526316,NA,NA,-0.561184881284583,NA,NA,NA,NA,NA,-0.680741402410904,NA,NA,NA,NA,NA,-0.670198866332042,NA,NA,NA,NA,NA,-0.603141656619186,NA,NA,NA,NA,NA,-0.654499593821605,-0.33080223,NA,NA,NA,NA,NA,-0.639919016384106,NA,NA,NA,NA,NA,-0.635360700063407,NA,NA,NA,NA,NA,-0.585175212755556,NA,NA,NA,NA,NA,-0.567943191105442,NA,NA,NA,NA,NA,-0.689854810371287,-0.482435005162712,NA,NA,NA,NA,NA,-0.649847857647401,NA,NA,NA,NA,NA,-0.721061079148352,NA,NA,NA,NA,NA,-0.629864434955085,NA,NA,NA,NA,NA,-0.696740172598425
"tBodyAcc-mad()-Y",NA,NA,-0.391228161564121,NA,NA,NA,NA,NA,-0.488785606255718,NA,NA,NA,NA,NA,-0.424937693851325,NA,NA,NA,NA,NA,-0.395514397426154,NA,NA,NA,NA,NA,-0.570104252656169,NA,NA,NA,NA,NA,-0.374858614010676,NA,NA,NA,NA,-0.495339293557962,-0.94664384,NA,NA,NA,NA,-0.40204883105418,NA,NA,NA,NA,NA,-0.497626696257927,NA,NA,NA,NA,NA,-0.660971189773224,NA,NA,NA,NA,NA,-0.574807289691576,NA,NA,NA,NA,-0.384338525734043,-0.956178880512821,NA,NA,NA,NA,-0.573810908081191,NA,NA,NA,NA,NA,-0.516862972956067,NA,NA,NA,NA,NA,-0.563066352054301,NA,NA,NA,NA,NA,-0.540052949860636,NA,NA,NA,NA,NA,-0.765379869092763,NA,NA,-0.496853700359167,NA,NA,NA,NA,NA,-0.636006561923702,NA,NA,NA,NA,NA,-0.589692313979319,NA,NA,NA,NA,NA,-0.616667321107849,NA,NA,NA,NA,NA,-0.536774752133158,-0.0685971406666667,NA,NA,NA,NA,NA,-0.445338262615331,NA,NA,NA,NA,NA,-0.526101045697445,NA,NA,NA,NA,NA,-0.581992301567014,NA,NA,NA,NA,NA,-0.514818223770068,NA,NA,NA,NA,NA,-0.65298097369802,-0.361484106833898,NA,NA,NA,NA,NA,-0.462357631949541,NA,NA,NA,NA,NA,-0.631131559879121,NA,NA,NA,NA,NA,-0.37968974510678,NA,NA,NA,NA,NA,-0.604195294863517
"tBodyAcc-mad()-Z",NA,NA,-0.488074652257637,NA,NA,NA,NA,NA,-0.649033311199414,NA,NA,NA,NA,NA,-0.635704667196026,NA,NA,NA,NA,NA,-0.674839016569231,NA,NA,NA,NA,NA,-0.463887150084221,NA,NA,NA,NA,NA,-0.499817116504626,NA,NA,NA,NA,-0.651096059025478,-0.9783047,NA,NA,NA,NA,-0.322574643614241,NA,NA,NA,NA,NA,-0.705956270652439,NA,NA,NA,NA,NA,-0.60829310261694,NA,NA,NA,NA,NA,-0.659097143265761,NA,NA,NA,NA,-0.577512186843617,-0.957871173461538,NA,NA,NA,NA,-0.673969367927696,NA,NA,NA,NA,NA,-0.661986540025234,NA,NA,NA,NA,NA,-0.464787835675269,NA,NA,NA,NA,NA,-0.633559021444988,NA,NA,NA,NA,NA,-0.814524684276316,NA,NA,-0.640398098416667,NA,NA,NA,NA,NA,-0.684283187726862,NA,NA,NA,NA,NA,-0.698180125183246,NA,NA,NA,NA,NA,-0.609089488652326,NA,NA,NA,NA,NA,-0.517251406177132,0.29382909,NA,NA,NA,NA,NA,-0.594606120850662,NA,NA,NA,NA,NA,-0.703257427476341,NA,NA,NA,NA,NA,-0.499956158855139,NA,NA,NA,NA,NA,-0.615910286459184,NA,NA,NA,NA,NA,-0.709328157688119,-0.695513999576271,NA,NA,NA,NA,NA,-0.593588513895358,NA,NA,NA,NA,NA,-0.704938687887363,NA,NA,NA,NA,NA,-0.640832966078531,NA,NA,NA,NA,NA,-0.647960180979003
"tBodyAcc-max()-X",NA,NA,-0.39732624422928,NA,NA,NA,NA,NA,-0.4443462411261,NA,NA,NA,NA,NA,-0.376145829957616,NA,NA,NA,NA,NA,-0.344451076048923,NA,NA,NA,NA,NA,-0.4229271579,NA,NA,NA,NA,NA,-0.458383824263345,NA,NA,NA,NA,-0.467921031917898,-0.88199588,NA,NA,NA,NA,-0.441637004092879,NA,NA,NA,NA,NA,-0.419304116073171,NA,NA,NA,NA,NA,-0.581814020420765,NA,NA,NA,NA,NA,-0.491095441871196,NA,NA,NA,NA,-0.335673201514184,-0.927015733461538,NA,NA,NA,NA,-0.562679804579412,NA,NA,NA,NA,NA,-0.465111062436885,NA,NA,NA,NA,NA,-0.466546913547849,NA,NA,NA,NA,NA,-0.606640381737653,NA,NA,NA,NA,NA,-0.695951304921053,NA,NA,-0.333059466896667,NA,NA,NA,NA,NA,-0.51991012089109,NA,NA,NA,NA,NA,-0.51273115590733,NA,NA,NA,NA,NA,-0.42094803981657,NA,NA,NA,NA,NA,-0.420161497762895,0.138237767333333,NA,NA,NA,NA,NA,-0.416420578870861,NA,NA,NA,NA,NA,-0.459450131033439,NA,NA,NA,NA,NA,-0.413249741433993,NA,NA,NA,NA,NA,-0.38609455004932,NA,NA,NA,NA,NA,-0.507567576388218,-0.243194421144068,NA,NA,NA,NA,NA,-0.494129249577982,NA,NA,NA,NA,NA,-0.529364694091126,NA,NA,NA,NA,NA,-0.469480156336723,NA,NA,NA,NA,NA,-0.540884458170079
